year,location,plot,replicate,trt,crops,legume_inclusion,n_fertilizer,grain_yield,iwg_straw_yield,legume_biomass,plant_height,lodging_score,NO3_mean,NO3_full_mean,NO3_half_mean,NO3_zero_mean,vwc_50cm,vwc_100cm,LOI_OM_pct_0_6,LOI_OM_pct_18_30,LOI_OM_pct_6_18,NH4_N_ppm_0_6,NH4_N_ppm_18_30,NH4_N_ppm_6_18,NO3_N_ppm_0_6,NO3_N_ppm_18_30,NO3_N_ppm_6_18,TOC_pct_0_6,TOC_pct_18_30,TOC_pct_6_18
2014,Lamberton,2309,3,25,TLI/leg,1,40,386,9520,75,133,3,0.568,0.568,0.568,0.568,0.232946842,0.22895,3.7,,,4,,1,3,1,1,,,
2015,Lamberton,2309,3,25,TLI/leg,1,40,126.4,6200,358,137,3,0.245375,0.251625,0.245375,0.239125,0.327887963,0.356894444,4.5,1.6,3.3,6.27,3.86,4.86,12.99,0.77,2.21,2.054,1.0995,1.381
2014,Lamberton,2319,3,22,TLI,0,60,200,10740,,140,3,3.6062,3.6062,3.6062,3.6062,0.232636842,0.187760877,3.8,,,2,,1,0.5,1,1,,,
2015,Lamberton,2319,3,22,TLI,0,60,23.004,9364,,143,4,0.234222222,0.256444444,0.234222222,0.212,0.317739286,0.295661607,4.7,1.8,3.3,5.68,3.91,4,8.57,0.76,2.48,2.03,0.601,1.406
2014,Lamberton,2324,3,21,TLI,0,0,46,6368,,124,2,0.5822,0.5822,0.5822,0.5822,,,4,,,3,,2,0.5,1,1,,,
2015,Lamberton,2324,3,21,TLI,0,0,58.584,4784,,129,0,1.556,1.570285714,1.556,1.541714286,,,4.7,1.8,3.3,9.45,3.76,4.09,12.19,1.14,3.52,2.35,1.245,1.489
2014,Lamberton,2407,4,21,TLI,0,0,100,8996,,125,2,0.5858,0.5858,0.5858,0.5858,,,3.6,,,2,,2,1,1,1,,,
2015,Lamberton,2407,4,21,TLI,0,0,25.56,4452,,125,1,0.591,0.59725,0.591,0.58475,,,4.4,1.3,2.7,5.72,2.03,4.45,8.38,1.12,3.37,2.026,0.777,1.294
2014,Lamberton,2412,4,25,TLI/leg,1,40,302,7590,117,132,3,0.1964,0.1964,0.1964,0.1964,0.230729474,0.194125088,3.7,,,3,,1,1.5,1,1,,,
2015,Lamberton,2412,4,25,TLI/leg,1,40,66.464,6996,168,137,3,0.297777778,0.32,0.297777778,0.275555556,0.271704107,0.252027321,4.9,1.3,2.1,7.53,2.27,5.07,13.04,1.33,7.64,2.314,0.532,0.926
2014,Lamberton,2417,4,22,TLI,0,60,124,10274,,137,3,0.0854,0.0854,0.0854,0.0854,0.263206667,0.166435439,3.8,,,4,,3,1.5,1,2,,,
2015,Lamberton,2417,4,22,TLI,0,60,17.156,8760,,142,6,0.326444444,0.343111111,0.326444444,0.309777778,0.292011636,0.251678364,5,1,3.2,7.27,2.75,3.72,10.7,1.05,3.8,2.366,0.552,1.621
2014,Lamberton,2422,4,23,TLI,0,120,,9980,,133,4,3.6608,3.6608,3.6608,3.6608,0.260575789,0.22021,4.1,,,2,,1,1.5,1,1,,,
2015,Lamberton,2422,4,23,TLI,0,120,30.818,7692,,136,6,0.578777778,0.595444444,0.578777778,0.562111111,0.361134737,0.3012202,4.9,1.4,3.3,6.18,2.81,5.76,12.96,1.26,4.94,2.54,0.776,1.498
